Date,Cases,Mean Temp (°C),Humidity,DoW
2014-01-25, 5,-7.0,90,0
2014-01-26, 13,-14.0,61,1
2014-01-27, 4,-11.5,52,2
2014-01-28, 11,-16.8,69,3
2014-01-29, 4,-14.0,74,4
2014-01-30, 7,-9.0,74,5
2014-01-31, 5,-2.8,63,6
2014-02-01, 6,-5.0,77,0
2014-02-02, 3,-1.0,77,1
2014-02-03, 9,-6.5,77,2
2014-02-04, 11,-11.5,74,3
2014-02-05, 8,-9.8,84	,4
2014-02-06, 5,-14.5,74,5
2014-02-07, 7,-11.0,80,6
2014-02-08, 7,-9.8,69,0
2014-02-09, 5,-13.8,81,1
2014-02-10, 10,-11.8,76,2
2014-02-11, 7,-14.0,65,3
2014-02-12, 6,-17.3,80,4
2014-02-13, 4,-8.5,59,5
2014-02-14, 8,-3.8,73,6
2014-02-15, 6,-4.0,66,0
2014-02-16, 6,-12.8,48,1
2014-02-17, 6,-13.3,56,2
2014-02-18, 6,-8.0,92,3
2014-02-19, 8,0.3,80,4
2014-02-20, 10,-1.5,98,5
2014-02-21, 2,2.5,94,6
2014-02-22, 3,2.3,51,0
2014-02-23, 4,-2.0,52,1
2014-02-24, 12,-8.5,55,2
2014-02-25, 7,-10.8,57,3
2014-02-26, 7,-13.3,54,4
2014-02-27, 13,-13.0,67,5
2014-02-28, 6,-16.5,58,6
2014-03-01, 8,-9.3,71,0
2014-03-02, 7,-9.8,46	,1
2014-03-03, 11,-16.8,48,2
2014-03-04, 10,-15.0,74,3
2014-03-05, 11,-11.0,63,4
2014-03-06, 11,-14.0,56,5
2014-03-07, 6,-7.0,68,6
2014-03-08, 6,-0.3,66,0
2014-03-09, 7,-7.3,51,1
2014-03-10, 7,0.5,85,2
2014-03-11, 4,4.5,61,3
2014-03-12, 7,-6.0,84,4
2014-03-13, 8,-12.3,34,5
2014-03-14, 6,-1.5,75,6
2014-03-15, 11,2.5,72,0
2014-03-16, 6,-11.0,48,1
2014-03-17, 8,-12.8,48,2
2014-03-18, 4,-5.0,46,3
2014-03-19, 6,-1.5,51,4
2014-03-20, 5,1.8,77,5
2014-03-21, 7,0.5,48	,6
2014-03-22, 10,-0.8,67,0
2014-03-23, 4,-7.3,51,1
2014-03-24, 6,-9.0,51,2
2014-03-25, 9,-7.3,57,3
2014-03-26, 12,-8.3,36,4
2014-03-27, 10,-6.8,73,5
2014-03-28, 8,2.5,92,6
2014-03-29, 2,1.8,70,0
2014-03-30, 3,0.8,71,1
2014-03-31, 9,3.0,50,2
2014-04-01, 11,2.0,59,3
2014-04-02, 6,3.0,69,4
2014-04-03, 4,0.0,58,5
2014-04-04, 12,2.0,65,6
2014-04-05, 6,1.0,68,0
2014-04-06, 14,1.8,87,1
2014-04-07, 8,5.0,47,2
2014-04-08, 6,4.5,94,3
2014-04-09, 5,3.8,42,4
2014-04-10, 7,8.0,70	,5
2014-04-11, 4,8.8,50,6
2014-04-12, 6,8.3,79,0
2014-04-13, 12,14.0,68,1
2014-04-14, 9,16.3,81,2
2014-04-15, 3,3.0,95,3
2014-04-16, 7,-2.8,60,4
2014-04-17, 6,2.8,48,5
2014-04-18, 4,7.0,66,6
2014-04-19, 8,6.0,47,0
2014-04-20, 16,6.8,45,1
2014-04-21, 10,13.0,65,2
2014-04-22, 5,12.0,98,3
2014-04-23, 12,7.3,56,4
2014-04-24, 8,6.3,26	,5
2014-04-25, 5,7.8,33,6
2014-04-26, 8,5.8,84,0
2014-04-27, 6,8.3,45,1
2014-04-28, 13,9.8,37,2
2014-04-29, 9,9.5,67,3
2014-04-30, 3,6.8,94,4
2014-05-01, 2,11.5,99,5
2014-05-02, 17,9.0,73,6
2014-05-03, 9,10.5,84,0
2014-05-04, 7,6.5,81,1
2014-05-05, 11,9.5,40,2
2014-05-06, 8,10.0,39,3
2014-05-07, 1,9.0,44	,4
2014-05-08, 9,14.5,28,5
2014-05-09, 12,17.8,79,6
2014-05-10, 7,16.3,68,0
2014-05-11, 9,13.8,72,1
2014-05-12, 10,16.0,39	,2
2014-05-13, 7,17.3,54,3
2014-05-14, 8,18.8,83,4
2014-05-15, 10,21.3,85,5
2014-05-16, 9,12.8,86,6
2014-05-17, 4,8.5,72,0
2014-05-18, 9,8.5,65,1
2014-05-19, 5,12.0,71,2
2014-05-20, 10,14.8,79	,3
2014-05-21, 3,15.8,48	,4
2014-05-22, 5,17.5,77	,5
2014-05-23, 10,14.5,95,6
2014-05-24, 6,15.0,96	,0
2014-05-25, 1,16.8,72,1
2014-05-26, 9,21.8,55,2
2014-05-27, 9,22.5,71,3
2014-05-28, 12,13.3,75,4
2014-05-29, 8,15.3,63,5
2014-05-30, 5,16.8,75,6
2014-05-31, 4,15.0,34,0
2014-06-01, 8,15.5,56,1
2014-06-02, 6,19.8,73,2
2014-06-03, 5,21.0,99	,3
2014-06-04, 8,15.8,73,4
2014-06-05, 9,14.0,85,5
2014-06-06, 4,15.0,79,6
2014-06-07, 8,17.8,72,0
2014-06-08, 8,17.8,50,1
2014-06-09, 10,21.5,62,2
2014-06-10, 11,21.8,55,3
2014-06-11, 8,17.0,94,4
2014-06-12, 8,17.3,91,5
2014-06-13, 8,20.5,99,6
2014-06-14, 2,13.8,74,0
2014-06-15, 5,16.0,71	,1
2014-06-16, 10,15.8,65,2
2014-06-17, 8,20.0,86,3
2014-06-18, 4,21.0,81	,4
2014-06-19, 7,18.0,35,5
2014-06-20, 6,15.5,42	,6
2014-06-21, 5,17.5,71,0
2014-06-22, 5,17.5,68	,1
2014-06-23, 2,18.3,55	,2
2014-06-24, 4,21.5,88,3
2014-06-25, 6,21.3,85,4
2014-06-26, 5,21.8,62,5
2014-06-27, 9,21.3,68	,6
2014-06-28, 2,20.5,63,0
2014-06-29, 11,23.3,77,1
2014-06-30, 10,23.8,85,2
2014-07-01, 11,25.3,81,3
2014-07-02, 4,23.8,83,4
2014-07-03, 9,18.8,79,5
2014-07-04, 6,17.8,53,6
2014-07-05, 8,18.5,59,0
2014-07-06, 10,20.5,72,1
2014-07-07, 7,21.8,89,2
2014-07-08, 9,22.3,88,3
2014-07-09, 5,17.0,67,4
2014-07-10, 3,16.5,66,5
2014-07-11, 3,17.8,70,6
2014-07-12, 4,19.5,72,0
2014-07-13, 8,21.8,94,1
2014-07-14, 8,18.3,67,2
2014-07-15, 3,19.8,89,3
2014-07-16, 3,16.8,69,4
2014-07-17, 8,16.3,67,5
2014-07-18, 3,17.8,70,6
2014-07-19, 4,18.8,54	,0
2014-07-20, 7,21.3,82,1
2014-07-21, 5,22.5,82,2
2014-07-22, 6,22.8,83,3
2014-07-23, 5,22.3,68,4
2014-07-24, 1,17.3,41,5
2014-07-25, 7,18.5,53,6
2014-07-26, 3,19.5,81,0
2014-07-27, 7,21.5,76,1
2014-07-28, 1,16.3,92,2
2014-07-29, 5,15.8,57	,3
2014-07-30, 4,18.0,73,4
2014-07-31, 9,18.3,79	,5
2014-08-01, 7,20.8,77,6
2014-08-02, 10,22.0,83,0
2014-08-03, 2,21.3,78,1
2014-08-04, 11,21.8,85,2
2014-08-05, 10,20.8,59,3
2014-08-06, 5,19.5,43,4
2014-08-07, 4,18.5,45,5
2014-08-08, 4,19.0,69	,6
2014-08-09, 2,20.0,66,0
2014-08-10, 5,20.8,62,1
2014-08-11, 9,21.0,69,2
2014-08-12, 5,18.0,93,3
2014-08-13, 6,20.0,75,4
2014-08-14, 7,12.5,65,5
2014-08-15, 9,13.5,75	,6
2014-08-16, 6,15.8,81,0
2014-08-17, 8,17.0,70,1
2014-08-18, 6,15.8,56,2
2014-08-19, 7,16.3,50,3
2014-08-20, 8,19.0,82,4
2014-08-21, 10,18.3,89,5
2014-08-22, 7,20.8,87,6
2014-08-23, 9,20.3,81	,0
2014-08-24, 3,20.0,71	,1
2014-08-25, 4,20.3,85	,2
2014-08-26, 6,21.3,76,3
2014-08-27, 4,21.0,74,4
2014-08-28, 5,17.8,63,5
2014-08-29, 4,16.3,68	,6
2014-08-30, 9,19.0,76,0
2014-08-31, 11,22.5,89,1
